Municipios; Homicidio  Doloso;Vitimas de Homicidio Doloso; Latrocinio; Furtos;Abigeato*;Furto de Veiculo ; Roubos; Roubo de Veiculo; Estelionato; Delitos Relacionados a Armas e Municoes; Entorpecentes Posse; Entorpecentes Trafico;Vitimas de Latrocinio;Vitimas de Lesao Corp Seg Morte
SANTA VITORIA DO PALMAR;0;0;0;45;0;4;4;0;14;0;3;6;0;0
SANTANA DA BOA VISTA;0;0;0;5;0;0;0;0;0;0;0;0;0;0
SANTANA DO LIVRAMENTO;2;3;0;78;8;9;9;2;46;3;12;5;0;0
SANTIAGO;0;0;0;18;1;0;2;0;31;1;10;2;0;0
SANTO ANGELO;2;2;0;106;1;4;10;1;47;10;7;7;0;0
SANTO ANTONIO DA PATRULHA;0;0;0;23;1;2;1;1;18;2;8;6;0;0
SANTO ANTONIO DAS MISSOES;0;0;0;10;3;0;1;0;3;1;4;0;0;0
SANTO ANTONIO DO PALMA;0;0;0;2;1;0;0;0;2;0;0;0;0;0
SANTO ANTONIO DO PLANALTO;0;0;0;1;0;0;0;0;3;0;0;0;0;0
SANTO AUGUSTO;0;0;0;9;0;0;0;0;2;1;1;4;0;0
SANTO CRISTO;0;0;0;2;0;1;1;0;4;0;0;0;0;0
SANTO EXPEDITO DO SUL;0;0;0;1;0;0;0;0;0;0;0;0;0;0
SAO BORJA;0;0;0;37;3;0;3;0;27;5;1;2;0;0
SAO DOMINGOS DO SUL;0;0;0;0;0;0;0;0;2;0;1;0;0;0
SAO FRANCISCO DE ASSIS;0;0;0;4;2;0;0;0;5;2;3;0;0;0
SAO FRANCISCO DE PAULA;0;0;0;23;8;1;3;0;8;2;6;4;0;0
SAO GABRIEL;0;0;0;64;3;0;1;0;16;8;9;11;0;0
SAO JERONIMO;0;0;0;22;1;1;1;0;13;1;2;3;0;0
SAO JOAO DA URTIGA;0;0;0;2;0;1;0;0;3;0;0;0;0;0
SAO JOAO DO POLESINE;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SAO JORGE;0;0;0;1;0;0;0;0;0;0;0;1;0;0
SAO JOSE DAS MISSOES;0;0;0;3;1;0;0;0;0;0;0;0;0;0
SAO JOSE DO HERVAL;0;0;0;1;0;0;0;0;1;0;0;0;0;0
SAO JOSE DO HORTENCIO;0;0;0;1;0;0;0;0;1;0;0;0;0;0
SAO JOSE DO INHACORA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SAO JOSE DO NORTE;0;0;0;24;1;0;0;0;6;0;0;2;0;0
SAO JOSE DO OURO;0;0;0;2;0;1;0;0;4;2;0;0;0;0
SAO JOSE DO SUL;0;0;0;2;0;0;0;0;1;0;0;0;0;0
SAO JOSE DOS AUSENTES;0;0;0;1;0;0;0;0;1;0;0;1;0;0
SAO LEOPOLDO;4;4;0;266;2;24;112;16;163;6;12;55;0;0
SAO LOURENCO DO SUL;0;0;0;24;1;0;4;0;25;0;17;2;0;0
SAO LUIZ GONZAGA;0;0;0;24;1;0;0;0;15;6;8;16;0;0
SAO MARCOS;1;1;0;6;0;1;0;0;12;1;2;3;0;0
SAO MARTINHO;0;0;0;1;0;0;0;0;1;0;0;0;0;0
SAO MARTINHO DA SERRA;0;0;0;4;1;0;0;0;0;0;0;0;0;0
SAO MIGUEL DAS MISSOES;0;0;0;7;2;0;0;0;0;0;0;1;0;0
SAO NICOLAU;0;0;0;8;5;0;0;0;1;0;1;0;0;0
SAO PAULO DAS MISSOES;0;0;0;1;1;0;0;0;3;0;0;0;0;0
SAO PEDRO DA SERRA;0;0;0;1;0;0;0;0;3;0;1;0;0;0
SAO PEDRO DAS MISSOES;0;0;0;2;0;0;0;0;2;1;0;0;0;0
SAO PEDRO DO BUTIA;0;0;0;2;0;0;0;0;0;0;0;0;0;0
SAO PEDRO DO SUL;0;0;0;12;6;0;2;0;9;0;1;2;0;0
SAO SEBASTIAO DO CAI;0;0;0;24;0;1;2;0;24;0;26;6;0;0
SAO SEPE;1;1;0;12;1;0;0;0;4;0;2;2;0;0
SAO VALENTIM;0;0;0;1;0;0;0;0;1;0;0;0;0;0
SAO VALENTIM DO SUL;0;0;0;2;0;0;0;0;0;0;0;0;0;0
SAO VALERIO DO SUL;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SAO VENDELINO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAO VICENTE DO SUL;0;0;0;8;2;0;1;0;0;0;4;0;0;0
SAPIRANGA;0;0;0;56;0;3;4;1;35;0;8;5;0;0
SAPUCAIA DO SUL;5;5;0;115;1;8;65;8;62;2;22;12;0;0
SARANDI;0;0;0;17;0;1;4;0;10;3;1;2;0;0
SEBERI;0;0;0;5;0;0;1;0;8;1;2;0;0;0
SEDE NOVA;0;0;0;1;0;0;0;0;1;0;0;0;0;0
SEGREDO;0;0;0;1;0;0;1;0;1;1;0;0;0;0
SELBACH;0;0;0;2;1;1;2;0;1;0;1;0;0;0
SENADOR SALGADO FILHO;0;0;0;3;1;0;0;0;1;0;0;0;0;0
SENTINELA DO SUL;0;0;0;7;1;0;0;0;0;1;0;0;0;0
SERAFINA CORREA;0;0;0;11;0;1;0;0;9;0;3;2;0;0
SERIO;0;0;0;2;0;0;0;0;0;0;0;0;0;0
SERTAO;0;0;0;5;0;0;0;0;0;0;1;0;0;0
SERTAO SANTANA;0;0;0;3;0;0;0;0;0;1;0;0;0;0
SETE DE SETEMBRO;0;0;0;1;0;0;0;0;1;0;0;0;0;0
SEVERIANO DE ALMEIDA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SILVEIRA MARTINS;0;0;0;1;0;0;0;0;2;0;1;0;0;0
SINIMBU;0;0;0;5;1;0;0;1;1;0;0;0;0;0
SOBRADINHO;0;0;0;21;0;2;4;1;8;1;6;5;0;0
SOLEDADE;0;0;0;64;5;2;4;0;2;4;5;9;0;0
TABAI;0;0;0;2;0;0;1;0;1;0;0;0;0;0
TAPEJARA;0;0;0;15;1;0;5;0;11;0;4;0;0;0
TAPERA;0;0;0;3;0;0;0;0;5;3;1;1;0;0
TAPES;0;0;0;21;4;1;0;0;8;5;8;2;0;0
TAQUARA;0;0;0;95;2;5;7;1;29;1;4;4;0;0
TAQUARI;0;0;0;16;1;0;0;0;9;1;2;0;0;0
TAQUARUCU DO SUL;0;0;0;2;0;0;0;0;1;1;1;0;0;0
TAVARES;1;1;0;3;0;2;0;0;3;0;3;3;0;0
TENENTE PORTELA;0;0;0;14;0;3;2;0;5;1;5;0;0;0
TERRA DE AREIA;0;0;0;15;0;0;0;0;7;0;1;2;0;0
TEUTONIA;0;0;0;11;0;1;1;0;31;2;8;3;0;1
TIO HUGO;0;0;0;5;0;0;0;0;2;0;0;0;0;0
TIRADENTES DO SUL;0;0;0;4;0;1;0;0;2;0;0;0;0;0
TOROPI;0;0;0;0;0;0;0;0;0;1;0;0;0;0
TORRES;1;1;0;82;0;15;4;0;79;1;15;12;0;0
TRAMANDAI;0;0;0;175;0;21;24;2;76;2;8;38;0;0
TRAVESSEIRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TRES ARROIOS;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TRES CACHOEIRAS;0;0;0;4;0;0;2;0;4;0;4;2;0;0
TRES COROAS;0;0;0;31;0;0;0;0;7;0;5;2;0;0
TRES DE MAIO;0;0;0;11;0;2;0;0;11;2;1;3;0;0
TRES FORQUILHAS;0;0;0;2;1;0;0;0;3;0;0;1;0;0
TRES PALMEIRAS;0;0;0;3;1;0;0;0;1;0;0;0;0;0
TRES PASSOS;1;1;0;9;1;2;4;0;8;0;5;11;0;0
TRINDADE DO SUL;0;0;0;8;1;0;2;0;2;0;5;1;0;0
TRIUNFO;0;0;0;9;0;1;2;0;16;0;4;3;0;0
TUCUNDUVA;0;0;0;5;1;0;0;0;0;0;0;0;0;0
TUNAS;0;0;0;2;1;0;0;0;3;0;0;1;0;0
TUPANCI DO SUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TUPANCIRETA;1;1;0;13;0;1;0;0;9;1;1;2;0;0
TUPANDI;0;0;0;0;0;0;0;0;6;0;0;0;0;0
TUPARENDI;0;0;0;1;0;0;0;0;2;0;0;0;0;0
TURUCU;0;0;0;0;0;0;0;0;2;1;0;0;0;0
UBIRETAMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UNIAO DA SERRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UNISTALDA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
URUGUAIANA;3;4;1;109;9;2;28;0;37;10;15;26;1;0
VACARIA;0;0;0;68;3;4;5;0;30;4;38;5;0;0
VALE DO SOL;0;0;0;10;0;0;1;0;1;0;0;0;0;0
VALE REAL;0;0;0;9;0;2;1;0;7;0;0;0;0;0
VALE VERDE;0;0;0;2;1;0;0;0;0;1;0;0;0;0
VANINI;0;0;0;1;1;0;0;0;2;0;1;0;0;0
VENANCIO AIRES;1;1;0;59;5;5;1;0;37;0;3;7;0;0
VERA CRUZ;1;1;0;29;1;3;2;0;19;0;0;0;0;0
VERANOPOLIS;0;0;0;15;0;1;3;0;17;3;7;7;0;0
VESPASIANO CORREA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIADUTOS;0;0;0;1;0;0;0;0;2;0;1;0;0;0
VIAMAO;4;4;0;159;4;13;138;19;144;10;8;21;0;0
VICENTE DUTRA;0;0;0;4;2;0;0;0;2;1;0;0;0;0
VICTOR GRAEFF;0;0;0;2;0;0;0;0;2;0;0;0;0;0
VILA FLORES;0;0;0;2;0;0;0;0;0;0;0;0;0;0
VILA LANGARO;0;0;0;2;0;0;0;0;0;0;0;0;0;0
VILA MARIA;0;0;0;6;1;0;0;0;0;1;2;0;0;0
VILA NOVA DO SUL;0;0;0;10;4;0;0;0;1;0;0;0;0;0
VISTA ALEGRE;0;0;0;1;0;0;0;0;1;1;0;0;0;0
VISTA ALEGRE DO PRATA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VISTA GAUCHA;0;0;0;3;0;0;0;0;1;0;0;0;0;0
VITORIA DAS MISSOES;0;0;0;1;0;0;1;0;0;0;0;0;0;0
WESTFALIA;0;0;0;0;0;0;1;0;2;0;1;0;0;0
XANGRI-LA;0;0;0;69;1;1;5;0;45;1;18;1;0;0
